NOME_MUNICIPIO,CODIGO,GENTILICO,PREFEITO2017,AREA,POPESTIMADA,DENSIDADE,ESCOLARIZACAO,IDHM,MORTALIDADE,RECEITAS,DESPESAS,PIB
Santo Afonso,5107263,santo-afonsense,JOABE ALMEIDA DOS SANTOS,1174.212,3136,2.55,94.2,0.689,37.04,17458.03424,14149.90948,23443.37
São José do Povo,5107297,sãojoseenses-do-povo,ARIVALDO MEDEIROS DE SANTANA,448.285,4021,8.09,96.6,0.661,-,16133.82629,13770.21051,11273.34
São José do Rio Claro,5107305,rio-clarense,VALDOMIRO LACHOVICZ,4533.010,20312,3.77,95.9,0.682,10.99,54746.68127,45922.59241,33865.26
São José do Xingu,5107354,São-xinguano,LUIZ CARLOS NUNES CASTELO,7459.645,5569,0.70,93.7,0.657,9.90,31487.32008,25848.10635,55460.43
São Pedro da Cipa,5107404,cipense,ALEXANDRE RUSSI,344.050,4674,12.12,97.5,0.660,13.70,17094.61807,15172.35221,11047.19
Rondolândia,5107578,rondolandense,AGNALDO RODRIGUES DE CARVALHO,12670.908,3966,0.28,96.8,0.640,28.57,23334.07832,19945.50561,18163.23
Rondonópolis,5107602,rondonopolitano,JOSE CARLOS JUNQUEIRA DE ARAUJO,4686.622,228857,47.00,98.4,0.755,11.86,819695.10356,717406.22402,43024.92
Rosário Oeste,5107701,rosariense,JOÃO ANTONIO DA SILVA BALBINO,7169.880,17237,2.36,96.5,0.650,29.94,46681.10301,40524.10717,17994.16
Santa Cruz do Xingu,5107743,santa-cruzense-do-xingu,MARCOS DE SÁ FERNANDES DA SILVA,5651.747,2495,0.34,98.8,0.684,43.48,18154.3691,15865.56248,40459.57
Salto do Céu,5107750,saltense,WEMERSON ADAO PRATA,1754.501,3437,2.23,99.2,0.666,18.18,17907.91605,17079.33355,18332.07
Santa Rita do Trivelato,5107768,trivelatenses,EGON HOEPERS,4734.930,3330,0.53,97.3,0.735,19.23,27058.96957,23542.97413,167966.16
Santa Terezinha,5107776,santa-terezinhense,EUCLESIO JOSE FERRETTO,6466.890,8281,1.14,95.4,0.609,9.62,26855.75864,22620.69245,16875.71
Santo Antônio do Leste,5107792,santo-antoniense-do-leste,MIGUEL JOSE BRUNETTA,3404.565,5023,1.04,85.3,0.655,53.57,28913.22854,24778.78428,78575.22
Santo Antônio do Leverger,5107800,santo-antoniense (papa abóbora),VALDIR PEREIRA DE CASTRO FILHO,9442.462,16433,1.51,96.4,0.656,4.07,42972.00135,44194.47895,28253.52
São Félix do Araguaia,5107859,são-felixcense,JANAILZA TAVEIRA LEITE,16713.475,11615,0.64,95.6,0.668,15.38,44868.90822,39460.31149,54972.41
Sapezal,5107875,sapezalense,VALCIR CASAGRANDE,13624.368,25054,1.33,98.1,0.732,13.16,108771.3199,93547.81742,113763.91
Serra Nova Dourada,5107883,serra douradense,JOSE OCIMAR GOMES DA SILVA AGUIAR,1500.391,1622,0.91,97.4,0.664,90.91,14533.44692,11200.57009,23576.94
Sinop,5107909,sinopense,ROSANA TEREZA MARTINELLI,3941.958,139935,28.69,98,0.754,10.81,405445.09558,353588.25717,38499.31
Sorriso,5107925,sorrisiense,ARI GENEZIO LAFIN,9347.556,87815,7.13,96.5,0.744,13.33,309156.20317,268246.20049,68132.44
Tabaporã,5107941,tabapoaense,SIRINEU MOLETA,8448.004,9565,1.19,98.7,0.695,28.99,45633.68553,34144.118,39380.31
Tangará da Serra,5107958,tangaraense,FABIO MARTINS JUNQUEIRA,11601.104,101764,7.37,93.3,0.729,11.38,279525.10443,230943.52104,30632.81
Tapurah,5108006,tapuraense,IRALDO EBERTZ,4489.391,13359,2.30,96.6,0.714,13.82,51046.39141,44257.36053,62136.02
Terra Nova do Norte,5108055,terranovense,VALTER KUHN,2432.070,9862,4.41,98.8,0.698,26.32,35176.74438,30936.8821,24329.52
Tesouro,5108105,tesourense,ANTONIO LEITE BARBOSA,4285.710,3786,0.82,96.7,0.655,33.33,16281.55089,13478.93134,37646.85
Torixoréu,5108204,torixorino,INES MORAES MESQUITA COELHO,2398.210,3672,1.70,98.3,0.716,20.83,NaN,NaN,27453.58
União do Sul,5108303,União-sulense,CLAUDIOMIRO JACINTO DE QUEIROZ,4581.910,3562,0.82,95.5,0.665,17.86,18251.93695,15734.275,35112.27
Vale de São Domingos,5108352,vale-dominguenses,GERALDO MARTINS DA SILVA,1887.669,3128,1.58,99.4,0.656,55.56,16666.73969,12371.87936,19832.61
Várzea Grande,5108402,várzea-grandense,LUCIMAR SACRE DE CAMPOS,942.568,282009,240.98,95.9,0.734,13.90,572599.75534,536691.02093,26937.68
Vera,5108501,verense,MOACIR LUIZ GIACOMELLI,2953.978,11216,3.45,97.2,0.680,6.62,41061.48245,32820.34734,48646.74
Vila Rica,5108600,vila-riquense,ABMAEL BORGES DA SILVEIRA,7431.481,25570,2.88,94.3,0.688,13.94,65369.63512,53496.66729,18523.62
Nova Guarita,5108808,nova  guaritense,JOSÉ LAIR ZAMONER,1114.126,4578,4.43,99.1,0.688,15.38,17948.12931,15845.81847,19328.36
Nova Marilândia,5108857,nova marilandense,JUVENAL ALEXANDRE DA SILVA,1936.428,3249,1.52,99,0.704,20.00,19867.45801,16245.31971,52652.90
Nova Maringá,5108907,nova maringaense,JOAO BRAGA NETO,11555.987,8428,0.57,95.9,0.663,12.05,30483.46311,26767.6883,50954.47
Nova Monte Verde,5108956,nova monte verdense,BEATRIZ DE FATIMA SUECK LEMES,5150.562,9078,1.54,99.1,0.691,24.59,29631.51413,26131.76327,19561.72
